# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:33:06.758206
# Surface: AMARILLO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 2
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,2,70,1,4344,2039,1625,558
AMARILLO,DELANTERO,2,71,1,4354,2053,1647,566
AMARILLO,DELANTERO,2,72,1,3982,1877,1492,496
AMARILLO,DELANTERO,2,73,1,3885,1832,1454,488
AMARILLO,DELANTERO,2,74,1,3326,1579,1240,412
AMARILLO,DELANTERO,2,75,1,2539,1208,938,329
AMARILLO,DELANTERO,2,76,1,2915,1384,1089,363
AMARILLO,DELANTERO,2,77,1,3229,1530,1211,403
AMARILLO,DELANTERO,2,78,1,3388,1605,1273,424
AMARILLO,DELANTERO,2,79,1,3652,1717,1358,493
AMARILLO,DELANTERO,2,80,1,2968,1421,1111,383
AMARILLO,DELANTERO,2,81,1,2960,1413,1106,371
AMARILLO,DELANTERO,2,82,1,2991,1419,1118,372
AMARILLO,DELANTERO,2,83,1,4089,1935,1541,531
AMARILLO,DELANTERO,2,84,1,4276,2007,1594,537
AMARILLO,DELANTERO,2,85,1,4775,2231,1797,587
AMARILLO,DELANTERO,2,86,1,5423,2509,2048,694
AMARILLO,DELANTERO,2,87,1,5702,2637,2156,722
AMARILLO,DELANTERO,2,88,1,5848,2705,2202,738
AMARILLO,DELANTERO,2,89,1,6249,2867,2357,796
AMARILLO,DELANTERO,2,90,1,5972,2741,2279,732
AMARILLO,DELANTERO,2,91,1,6579,2995,2518,820
AMARILLO,DELANTERO,2,92,1,6686,3049,2557,847
AMARILLO,DELANTERO,2,93,1,7022,3200,2680,876
AMARILLO,DELANTERO,2,94,1,6685,3114,2508,821
AMARILLO,DELANTERO,2,95,1,6588,3069,2477,815
AMARILLO,DELANTERO,2,96,1,5232,2434,1976,648
AMARILLO,DELANTERO,2,97,1,4820,2255,1811,602
AMARILLO,DELANTERO,2,98,1,4339,2034,1622,556
AMARILLO,DELANTERO,2,99,1,4026,1900,1510,495
AMARILLO,DELANTERO,2,100,1,3619,1720,1349,452
