# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 16:24:30.042486
# Surface: AMARILLO
# Sensor under test: DELANTERO
# Number of points: 8
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,3,60,1,5571,2701,1950,573
AMARILLO,DELANTERO,4,1,1,1893,853,653,249
AMARILLO,DELANTERO,4,2,1,1897,855,654,249
AMARILLO,DELANTERO,4,3,1,1901,856,656,250
AMARILLO,DELANTERO,4,4,1,1891,850,652,249
AMARILLO,DELANTERO,4,5,1,1936,873,668,253
AMARILLO,DELANTERO,4,6,1,1948,879,672,254
AMARILLO,DELANTERO,4,7,1,1952,881,673,255
AMARILLO,DELANTERO,4,8,1,1952,881,674,255
AMARILLO,DELANTERO,4,9,1,1955,882,675,255
AMARILLO,DELANTERO,4,10,1,1956,882,675,255
AMARILLO,DELANTERO,4,11,1,2139,982,736,268
AMARILLO,DELANTERO,4,12,1,1873,838,647,246
AMARILLO,DELANTERO,4,13,1,2366,1132,805,271
AMARILLO,DELANTERO,4,14,1,2400,1161,814,269
AMARILLO,DELANTERO,4,15,1,2760,1357,933,296
AMARILLO,DELANTERO,4,16,1,3351,1675,1128,347
AMARILLO,DELANTERO,4,17,1,3447,1723,1161,351
AMARILLO,DELANTERO,4,18,1,4100,2047,1378,427
AMARILLO,DELANTERO,4,19,1,4243,2120,1433,443
AMARILLO,DELANTERO,4,20,1,3723,1867,1255,394
AMARILLO,DELANTERO,4,21,1,3336,1669,1137,342
AMARILLO,DELANTERO,4,22,1,3236,1618,1101,328
AMARILLO,DELANTERO,4,23,1,3489,1740,1189,355
AMARILLO,DELANTERO,4,24,1,3992,1979,1367,406
AMARILLO,DELANTERO,4,25,1,4385,2177,1510,453
AMARILLO,DELANTERO,4,26,1,4584,2256,1575,485
AMARILLO,DELANTERO,4,27,1,4420,2184,1525,456
AMARILLO,DELANTERO,4,28,1,4503,2222,1551,466
AMARILLO,DELANTERO,4,29,1,4439,2197,1525,456
AMARILLO,DELANTERO,4,30,1,3429,1721,1163,366
AMARILLO,DELANTERO,4,31,1,4242,2098,1454,461
AMARILLO,DELANTERO,4,32,1,3916,1925,1323,432
AMARILLO,DELANTERO,4,33,1,3713,1849,1274,382
AMARILLO,DELANTERO,4,34,1,3780,1877,1302,379
AMARILLO,DELANTERO,4,35,1,4360,2149,1512,437
AMARILLO,DELANTERO,4,36,1,4409,2172,1530,442
AMARILLO,DELANTERO,4,37,1,4422,2177,1535,443
AMARILLO,DELANTERO,4,38,1,4417,2176,1533,443
